#Types Before Cut: 11091
#Types After Cut: 9686
#Search Hits: 0
344	9	23.762	ар
345	9	23.762	видишь
346	9	23.762	грустный
347	9	23.762	двенадцать
348	9	23.762	двести
349	9	23.762	женщина
350	9	23.762	кошки
351	9	23.762	папа
352	9	23.762	переехали
353	9	23.762	подожди
354	9	23.762	смесь
355	9	23.762	танцами
356	9	23.762	твой
357	9	23.762	чай
358	9	23.762	эмм
359	50	23.700	день
360	35	23.251	четыре
361	27	23.146	каждый
362	14	22.983	d
363	14	22.983	вещи
364	14	22.983	мои
365	14	22.983	хотелось
366	146	22.975	был
367	11	22.779	квартире
368	39	22.351	людей
369	16	22.298	девять
370	17	22.210	кем
371	27	21.901	слова
372	36	21.805	одна
373	29	21.588	сама
374	12	21.442	нравятся
375	28	21.153	совсем
376	8	21.121	acc
377	8	21.121	komm
378	8	21.121	nom
379	8	21.121	ааa
380	8	21.121	английский
381	8	21.121	брови
382	8	21.121	вертолет
383	8	21.121	говорящийа
384	8	21.121	говорящийб
385	8	21.121	делаешь
386	8	21.121	егэ
387	8	21.121	замечательно
388	8	21.121	звук
389	8	21.121	иду
390	8	21.121	интересного
391	8	21.121	колесико
392	8	21.121	любишь
393	8	21.121	лёва
394	8	21.121	мамой
395	8	21.121	мемы
396	8	21.121	моих
397	8	21.121	надя
398	8	21.121	никит
399	8	21.121	одиннадцать
400	8	21.121	поехал
401	8	21.121	прихожу
402	8	21.121	смотрел
403	8	21.121	смотрела
404	8	21.121	студентов
405	8	21.121	типо
406	8	21.121	умер
407	8	21.121	учился
408	8	21.121	хе
409	8	21.121	эт
410	30	20.954	чего
411	13	20.744	бывает
412	13	20.744	специально
413	14	20.379	надеюсь
414	40	20.342	говорить
415	10	20.321	бывают
416	10	20.321	интересные
417	10	20.321	рассказывала
418	21	19.640	долго
419	11	19.122	будто
420	11	19.122	знаете
421	11	19.122	отец
422	11	19.122	пошел
423	19	19.016	павел
424	19	19.016	хотел
425	18	18.745	русский
426	12	18.535	купить
427	12	18.535	семье
428	7	18.481	бабушкой
429	7	18.481	боже
430	7	18.481	буквы
431	7	18.481	двери
432	7	18.481	детство
433	7	18.481	детьми
434	7	18.481	друзьями
435	7	18.481	ездить
436	7	18.481	ехали
437	7	18.481	живёт
438	7	18.481	забыла
439	7	18.481	задание
440	7	18.481	карл
441	7	18.481	квартиры
442	7	18.481	красивый
443	7	18.481	ненавижу
444	7	18.481	нету
445	7	18.481	ноль
446	7	18.481	парень
447	7	18.481	понравилась
448	7	18.481	пошёл
449	7	18.481	пытаюсь
450	7	18.481	ребят
451	7	18.481	секунд
452	7	18.481	скажи
453	7	18.481	сорок
454	7	18.481	супер
455	7	18.481	троих
456	7	18.481	троллейбус
457	7	18.481	человечек
458	7	18.481	читаю
459	7	18.481	чё
460	16	18.326	реально
461	16	18.326	уж
462	13	18.258	говорила
463	13	18.258	другую
464	13	18.258	улице
465	9	17.881	брали
466	9	17.881	друзей
467	9	17.881	едем
468	9	17.881	жил
469	9	17.881	институте
470	9	17.881	историю
471	9	17.881	маленькая
472	9	17.881	мое
473	9	17.881	нечего
474	9	17.881	смеется
475	9	17.881	твоя
476	153	17.868	еще
477	27	17.541	ей
478	17	16.935	разные
479	10	16.831	мной
480	10	16.831	написано
481	23	16.741	равно
482	25	16.608	лучше
483	11	16.358	посмотреть
484	11	16.358	скажем
485	11	16.358	считаю
486	78	16.177	больше
487	12	16.173	делали
488	12	16.173	друзья
489	21	15.864	виктор
490	6	15.841	distinct
491	6	15.841	onion
492	6	15.841	part
493	6	15.841	автобус
494	6	15.841	автобусе
495	6	15.841	ам
496	6	15.841	антифриз
497	6	15.841	бабуля
498	6	15.841	бабушки
499	6	15.841	бешбармак
500	6	15.841	бутово
501	6	15.841	вау
502	6	15.841	верно
